2025-07-17 07:29:13 - Inference-20250717_072913 - INFO - Found a total of 5 model files.
2025-07-17 07:29:13 - Inference-20250717_072913 - INFO - Loading model: resources\model_fold_1.pkl
2025-07-17 07:29:14 - Inference-20250717_072913 - INFO - Loading model: resources\model_fold_2.pkl
2025-07-17 07:29:14 - Inference-20250717_072913 - INFO - Loading model: resources\model_fold_3.pkl
2025-07-17 07:29:14 - Inference-20250717_072913 - INFO - Loading model: resources\model_fold_4.pkl
2025-07-17 07:29:14 - Inference-20250717_072913 - INFO - Loading model: resources\model_fold_5.pkl
2025-07-17 07:29:14 - Inference-20250717_072913 - INFO - 未指定特征函数，将运行所有 12 个非实验性特征。
2025-07-17 07:29:15 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:23 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:23 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:23 - Inference-20250717_072913 - WARNING -     - 'RAW_2_kpss_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:23 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:23 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:23 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:23 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:23 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_12_rpt_cost_rank_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_kpss_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_value_number_to_time_series_length_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:24 - Inference-20250717_072913 - WARNING -     - 'RAW_12_rpt_cost_rank_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_2_kpss_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_value_number_to_time_series_length_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:25 - Inference-20250717_072913 - WARNING -     - 'RAW_12_rpt_cost_rank_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_2_jb_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_2_kpss_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_12_rpt_cost_rank_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_1_stats_cv_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_2_kpss_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_value_number_to_time_series_length_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:26 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_12_rpt_cost_rank_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_value_number_to_time_series_length_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:27 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_12_rpt_cost_rank_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_2_kpss_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_value_number_to_time_series_length_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:28 - Inference-20250717_072913 - WARNING -     - 'RAW_12_rpt_cost_rank_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_2_kpss_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_2_adf_pvalue_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_value_number_to_time_series_length_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_ratio_beyond_r_sigma_6_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_whole': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_diff': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_values_to_all_values_ratio': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_right': 空值比例=0.00%, 零值比例=100.00%
2025-07-17 07:29:29 - Inference-20250717_072913 - WARNING -     - 'RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_whole': 空值比例=0.00%, 零值比例=100.00%
